name;ranking;puntos;partidos_jugados;partidos_ganados;partidos_perdidos;efectividad;racha_victorias;compañero;posicion;lugar nacimiento;fecha nacimiento;altura;residencia;partidos jugados 2021;partidos ganados 2021;efectividad 2021;campeon 2021;finalista 2021;semifinalista 2021;cuartos 2021;octavos 2021;dieciseisavos 2021;partidos jugados 2020;partidos ganados 2020;efectividad 2020;campeon 2020;finalista 2020;semifinalista 2020;cuartos 2020;octavos 2020;dieciseisavos 2020
Juan Lebrón Chincoa;1;15450;312;199;113;63,78;18;Alejandro Galán Romo;Revés;Puerto de Sta. María;30/01/1995;1,84;Madrid;0;0;0;0;0;0;0;0;0;42;37;88,1;6;2;3;0;0;0
Alejandro Galán Romo;2;14830;297;206;91;69,36;18;Juan Lebrón Chincoa;Revés;Madrid;15/05/1996;1,86;Madrid;0;0;0;0;0;0;0;0;0;42;37;88,1;6;2;3;0;0;0
Francisco Navarro Compán;3;10970;416;312;104;75;15;Martín Di Nenno;Revés;Sevilla;10/02/1989;1,81;Madrid;1;0;0;0;0;0;0;1;0;31;22;70,97;1;2;4;3;0;0
Fernando Belasteguín ;4;10815;423;377;46;89,13;63;Carlos Daniel Gutiérrez;Revés;Pehuajo;19/05/1979;1,80;Barcelona;4;4;100;1;0;0;0;0;0;34;26;76,47;2;2;2;4;0;0
Carlos Daniel Gutiérrez ;5;10770;439;342;97;77,9;13;Fernando Belasteguín;Drive;San Luis - Argentina;15/06/1984;1,77;Madrid;4;4;100;1;0;0;0;0;0;32;22;68,75;1;2;5;1;2;0
Jorge Nieto Ruiz;21;2900;205;120;85;58,54;6;Juan Martín Díaz Martínez;Revés;Madrid;18/12/1998;1,75;Madrid;2;1;50;0;0;0;0;1;0;22;11;50;0;0;1;3;3;3
Juan Cruz Belluati López;26;2120;268;154;114;57,46;6;Javier Garrido Gómez;Drive;Buenos Aires - Arg;20/10/1993;1,76;Madrid;0;0;0;0;0;0;0;0;0;13;3;23,08;0;0;0;0;3;7
Arturo Coello Manso;31;1783;72;39;33;54,17;5;Miguel Lamperti;Drive;Valladolid;08/03/2002;1,90;Valladolid - España;39;20;51,28;0;0;0;0;1;4;30;18;60;0;0;0;0;0;1
Iván Ramírez Del Campo;33;1610;118;69;49;58,47;6;Miguel Yanguas Diez;Revés;Madrid;14/11/2001;1,72;Madrid;72;52;72,22;0;0;0;0;2;2;31;12;38,71;0;0;0;0;0;0
Gonzalo Rubio Pérez;36;1574;260;122;138;46,92;7;Christian Fuster Simarro;Drive;Sevilla;22/02/1991;1,83;Sevilla;0;0;0;0;0;0;0;0;0;13;3;23,08;0;0;0;0;3;7
